track,repetitions,mean_ratio,ratio_ci_halfwidth,mean_optimum_probability,mean_tvd,median_run_seconds,median_preparation_seconds
Aer ideal,5,0.834921875,0.006177437699690099,0.40986328125,0.04659758371397266,0.005390881000494119,0.2490066790005585
Qrisp to Aer ideal,5,0.834921875,0.006177437699690099,0.40986328125,0.04659758371397266,0.006024434999744699,0.125715234999916
IBM Manila noise model,5,0.7744824218749999,0.0064346694337056864,0.31181640625,0.13921394554865021,0.07800258600036614,0.018610681000609475
IQM Adonis noise model,5,0.736318359375,0.0030065682146114834,0.28212890625,0.22473083188340812,0.08948574300029577,0.017459069000324234
OpenQARP ideal,5,0.8337207031250001,0.006505118105353743,0.4068359375,0.033165143949256626,0.0014564690000042901,0.0005020360003982205
