seed,cut,approximation_ratio,assignment,evaluations,seconds
11,10.0,1.0,00101,6,0.0003853000234812498
23,10.0,1.0,11010,11,0.0004857999738305807
37,10.0,1.0,11010,16,0.0005991000216454268
53,10.0,1.0,00101,16,0.0005815000040456653
71,10.0,1.0,10010,11,0.0006098999874666333
