track,kind,seed,run_seconds,preparation_seconds,depth,two_qubit_gates,shots,expected_cut,approximation_ratio,mean_cut_ci_low,mean_cut_ci_high,optimum_probability,optimum_ci_low,optimum_ci_high,best_observed_cut,tvd_to_ideal
Aer ideal,ideal,11,0.014163299987558275,0.16412679996574298,21.0,14.0,2048,8.3154296875,0.83154296875,8.232626363493154,8.398233011506846,0.3974609375,0.3764774016975659,0.4188284206921438,10.0,0.04048696594074785
Aer ideal,ideal,23,0.007988299999851733,0.16412679996574298,21.0,14.0,2048,8.3154296875,0.83154296875,8.234540895766914,8.396318479233086,0.40673828125,0.3856573758192432,0.42816839597330236,10.0,0.04845071256851331
Aer ideal,ideal,37,0.008296100015286356,0.16412679996574298,21.0,14.0,2048,8.388671875,0.8388671875,8.30884138616674,8.46850236383326,0.41552734375,0.39436142653076295,0.4370095604855217,10.0,0.049245735669350865
Aer ideal,ideal,53,0.004762199998367578,0.16412679996574298,21.0,14.0,2048,8.41650390625,0.841650390625,8.33602688217815,8.49698093032185,0.42578125,0.4045249555698882,0.4473154492074255,10.0,0.03882615677470663
Aer ideal,ideal,71,0.00487460003932938,0.16412679996574298,21.0,14.0,2048,8.31005859375,0.831005859375,8.227710918426794,8.392406269073206,0.40380859375,0.38275758562962553,0.4252197810883403,10.0,0.05597840820297696
Qrisp to Aer ideal,ideal,11,0.007811999996192753,0.08293719997163862,21.0,14.0,2048,8.3154296875,0.83154296875,8.232626363493154,8.398233011506846,0.3974609375,0.3764774016975659,0.4188284206921438,10.0,0.04048696594074785
Qrisp to Aer ideal,ideal,23,0.010727500019129366,0.08293719997163862,21.0,14.0,2048,8.3154296875,0.83154296875,8.234540895766914,8.396318479233086,0.40673828125,0.3856573758192432,0.42816839597330236,10.0,0.04845071256851331
Qrisp to Aer ideal,ideal,37,0.010485599981620908,0.08293719997163862,21.0,14.0,2048,8.388671875,0.8388671875,8.30884138616674,8.46850236383326,0.41552734375,0.39436142653076295,0.4370095604855217,10.0,0.049245735669350865
Qrisp to Aer ideal,ideal,53,0.007439299952238798,0.08293719997163862,21.0,14.0,2048,8.41650390625,0.841650390625,8.33602688217815,8.49698093032185,0.42578125,0.4045249555698882,0.4473154492074255,10.0,0.03882615677470663
Qrisp to Aer ideal,ideal,71,0.01222909998614341,0.08293719997163862,21.0,14.0,2048,8.31005859375,0.831005859375,8.227710918426794,8.392406269073206,0.40380859375,0.38275758562962553,0.4252197810883403,10.0,0.05597840820297696
IBM Manila noise model,device_model,11,0.0790872999932617,0.015367100015282631,46.0,29.0,2048,7.701171875,0.7701171875,7.607696935800441,7.794646814199559,0.3046875,0.28513420144989904,0.324972126911453,10.0,0.13903440424860977
IBM Manila noise model,device_model,23,0.06349490000866354,0.015367100015282631,46.0,29.0,2048,7.68798828125,0.768798828125,7.5953775343166985,7.7805990281833015,0.31103515625,0.29135588087929126,0.3314219918103168,10.0,0.14824546888909074
