track,repetitions,mean_ratio,ratio_ci_halfwidth,mean_optimum_probability,mean_tvd,median_run_seconds,median_preparation_seconds
Aer ideal,5,0.834921875,0.006177437699690099,0.40986328125,0.04659759583125912,0.007988299999851733,0.16412679996574298
Qrisp to Aer ideal,5,0.834921875,0.006177437699690099,0.40986328125,0.04659759583125912,0.010485599981620908,0.08293719997163862
IBM Manila noise model,5,0.7744824218749999,0.0064346694337056864,0.31181640625,0.13921392951211975,0.0708331999485381,0.015367100015282631
IQM Adonis noise model,5,0.736318359375,0.0030065682146114834,0.28212890625,0.22473080822743077,0.07351780001772568,0.01945469999918714
OpenQARP ideal,5,0.8337207031250001,0.006505118105353743,0.4068359375,0.0331651479963468,0.0011778000043705106,0.00021979998564347625
